2歳未勝利,2018年08月25日 ,ダ右1000m, 曇,札幌
2歳未勝利,2018年08月25日 ,芝右1500m, 曇,札幌
3歳未勝利,2018年08月25日 ,ダ右1700m, 曇,札幌
3歳未勝利,2018年08月25日 ,芝右1500m, 曇,札幌
2歳新馬,2018年08月25日 ,ダ右1700m, 曇,札幌
3歳未勝利,2018年08月25日 ,芝右2000m, 曇,札幌
3歳上500万下,2018年08月25日 ,芝右1200m, 曇,札幌
3歳上500万下,2018年08月25日 ,ダ右1000m, 曇,札幌
積丹特別,2018年08月25日 ,芝右2600m, 曇,札幌
オールスターJ第1戦,2018年08月25日 ,芝右1200m, 曇,札幌
オールスターJ第2戦,2018年08月25日 ,芝右2000m, 曇,札幌
ニセコ特別,2018年08月25日 ,ダ右1700m, 曇,札幌
2歳未勝利,2018年08月26日 ,芝右1800m, 晴,札幌
3歳未勝利,2018年08月26日 ,ダ右1700m, 晴,札幌
3歳未勝利,2018年08月26日 ,ダ右1000m, 晴,札幌
3歳未勝利,2018年08月26日 ,ダ右1700m, 曇,札幌
2歳新馬,2018年08月26日 ,芝右1200m, 曇,札幌
3歳未勝利,2018年08月26日 ,芝右2600m, 曇,札幌
3歳上500万下,2018年08月26日 ,ダ右1700m, 曇,札幌
3歳上500万下,2018年08月26日 ,芝右2000m, 曇,札幌
千歳特別,2018年08月26日 ,芝右1500m, 曇,札幌
オールスターJ第3戦,2018年08月26日 ,ダ右1700m, 晴,札幌
キーンランドカップ,2018年08月26日 ,芝右1200m, 晴,札幌
オールスターJ第4戦,2018年08月26日 ,芝右1800m, 晴,札幌
2歳未勝利,2018年09月01日 ,ダ右1700m, 曇,札幌
2歳未勝利,2018年09月01日 ,芝右2000m, 晴,札幌
3歳未勝利,2018年09月01日 ,ダ右1700m, 晴,札幌
3歳未勝利,2018年09月01日 ,芝右1200m, 晴,札幌
2歳新馬,2018年09月01日 ,芝右1500m, 晴,札幌
3歳上500万下,2018年09月01日 ,ダ右1000m, 晴,札幌
3歳上500万下,2018年09月01日 ,ダ右1700m, 晴,札幌
3歳上500万下,2018年09月01日 ,芝右2000m, 晴,札幌
3歳上500万下,2018年09月01日 ,ダ右1700m, 晴,札幌
札幌スポニチ賞,2018年09月01日 ,芝右1200m, 晴,札幌
札幌2歳ステークス,2018年09月01日 ,芝右1800m, 晴,札幌
日高特別,2018年09月01日 ,芝右2000m, 晴,札幌
2歳未勝利,2018年09月02日 ,芝右1500m, 晴,札幌
2歳未勝利,2018年09月02日 ,芝右1200m, 晴,札幌
3歳未勝利,2018年09月02日 ,ダ右1000m, 晴,札幌
3歳未勝利,2018年09月02日 ,ダ右1700m, 晴,札幌
3歳未勝利,2018年09月02日 ,芝右2000m, 晴,札幌
3歳上500万下,2018年09月02日 ,ダ右1000m, 晴,札幌
3歳上500万下,2018年09月02日 ,芝右1200m, 晴,札幌
3歳上500万下,2018年09月02日 ,ダ右1700m, 晴,札幌
3歳上500万下,2018年09月02日 ,芝右1800m, 晴,札幌
すずらん賞,2018年09月02日 ,芝右1200m, 晴,札幌
丹頂ステークス,2018年09月02日 ,芝右2600m, 晴,札幌
釧路湿原特別,2018年09月02日 ,ダ右1700m, 晴,札幌
3歳未勝利,2018年06月16日 ,芝右1200m, 曇,函館
3歳未勝利,2018年06月16日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年06月16日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年06月16日 ,芝右2000m, 晴,函館
2歳新馬,2018年06月16日 ,芝右1000m, 晴,函館
3歳未勝利,2018年06月16日 ,ダ右1700m, 晴,函館
3歳上500万下,2018年06月16日 ,ダ右1000m, 晴,函館
3歳上500万下,2018年06月16日 ,芝右1200m, 晴,函館
3歳上500万下,2018年06月16日 ,ダ右1700m, 晴,函館
駒ケ岳特別,2018年06月16日 ,芝右2600m, 晴,函館
HTB杯,2018年06月16日 ,芝右1200m, 晴,函館
遊楽部特別,2018年06月16日 ,芝右1800m, 晴,函館
3歳未勝利,2018年06月17日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年06月17日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年06月17日 ,芝右1200m, 曇,函館
3歳未勝利,2018年06月17日 ,ダ右1700m, 曇,函館
2歳新馬,2018年06月17日 ,芝右1200m, 曇,函館
3歳未勝利,2018年06月17日 ,芝右1800m, 曇,函館
3歳上500万下,2018年06月17日 ,ダ右1000m, 曇,函館
3歳上500万下,2018年06月17日 ,芝右1200m, 曇,函館
3歳上500万下,2018年06月17日 ,芝右2000m, 曇,函館
木古内特別,2018年06月17日 ,ダ右1700m, 曇,函館
函館スプリントS,2018年06月17日 ,芝右1200m, 曇,函館
北斗特別,2018年06月17日 ,芝右1800m, 曇,函館
3歳未勝利,2018年06月23日 ,芝右1200m, 晴,函館
3歳未勝利,2018年06月23日 ,ダ右1700m, 晴,函館
3歳未勝利,2018年06月23日 ,芝右1800m, 晴,函館
3歳未勝利,2018年06月23日 ,芝右2600m, 晴,函館
2歳新馬,2018年06月23日 ,芝右1200m, 晴,函館
2歳新馬,2018年06月23日 ,ダ右1000m, 晴,函館
3歳上500万下,2018年06月23日 ,芝右1200m, 晴,函館
3歳上500万下,2018年06月23日 ,ダ右1700m, 晴,函館
湯川特別,2018年06月23日 ,芝右2000m, 晴,函館
3歳上500万下,2018年06月23日 ,ダ右1000m, 晴,函館
大沼ステークス,2018年06月23日 ,ダ右1700m, 晴,函館
長万部特別,2018年06月23日 ,芝右1200m, 晴,函館
3歳未勝利,2018年06月24日 ,芝右1200m, 曇,函館
3歳未勝利,2018年06月24日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年06月24日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年06月24日 ,芝右1200m, 曇,函館
2歳新馬,2018年06月24日 ,芝右1200m, 晴,函館
3歳未勝利,2018年06月24日 ,芝右2000m, 晴,函館
3歳上500万下,2018年06月24日 ,ダ右1700m, 晴,函館
3歳上500万下,2018年06月24日 ,芝右1200m, 晴,函館
3歳上500万下,2018年06月24日 ,ダ右1700m, 晴,函館
奥尻特別,2018年06月24日 ,芝右1800m, 晴,函館
UHB杯,2018年06月24日 ,芝右1200m, 晴,函館
津軽海峡特別,2018年06月24日 ,ダ右1700m, 晴,函館
2歳未勝利,2018年06月30日 ,芝右1200m, 曇,函館
3歳未勝利,2018年06月30日 ,ダ右1700m, 曇,函館
3歳未勝利,2018年06月30日 ,ダ右1000m, 曇,函館
3歳未勝利,2018年06月30日 ,ダ右1700m, 曇,函館
2歳新馬,2018年06月30日 ,芝右1000m, 曇,函館
3歳未勝利,2018年06月30日 ,芝右2000m, 曇,函館
3歳上500万下,2018年06月30日 ,ダ右1700m, 曇,函館
3歳上500万下,2018年06月30日 ,芝右1200m, 曇,函館
3歳上500万下,2018年06月30日 ,ダ右1700m, 曇,函館
恵山特別,2018年06月30日 ,芝右1800m, 曇,函館
TVh杯,2018年06月30日 ,芝右1200m, 曇,函館
洞爺湖特別,2018年06月30日 ,芝右2000m, 曇,函館
3歳未勝利,2018年07月01日 ,ダ右1000m, 小雨,函館
